





































































































































-4362,-21393,-11866
-4396,-17699,-8054
-6369,-10591,-1805
-8700,-4087,3360
-10880,533,6743
-12281,901,6146
-8020,-133,1248
-3927,-1168,-1966
-903,-188,-3034
-16,862,-3632
488,2089,-3848
481,3516,-2865
310,4781,-1938
382,5577,-1629
337,4398,-1369
2189,7996,-2532
747,4788,1051
472,2725,517














-1279,-1787,113
-1308,-2209,162
-1356,-2322,39
-1382,-2168,-163
-1428,-1667,-358


455,953,-1734
1476,5937,158
2818,11926,4523
2545,15281,7525
2983,13579,7777
2934,10882,5937
2725,8278,5196
2614,6853,3306
3245,6614,2809
2633,6426,3001
1977,5892,4354
1376,4904,3521
1473,4621,3931
1154,3610,3663
918,2075,3581
648,1508,5229
210,971,6041
-378,-742,6451
-487,-1874,5202
223,-1442,3288
505,-1181,3072
771,-276,3422
979,790,4309
962,1240,4990
673,296,4432
228,-1337,2461
480,-1549,1428



1373,109,1720
1513,170,2664
1209,-585,1718
708,-1577,-1080
306,-2191,-3141
-396,-2988,-5151
-709,-3969,-7767
-869,-5136,-9329
-1492,-6601,-10493
-2479,-10310,-11689
-4593,-17643,-12341
-7320,-29303,-14748
-6944,-20429,-4349
-7279,-10474,-507
-8572,-6455,992
-10034,-5410,3326
-10379,-5668,3249
-7107,-8792,-1446
-3494,-9696,-4264
-2039,-6588,-4285
-1539,-2707,-4138
-933,1174,-2777
-216,3744,-1341
46,5113,-770
114,6071,-866
-122,4703,-1307
-435,3198,-2502
-453,1940,-3114
-528,770,-3389
682,3321,-4010
84,2563,-1821
309,1635,-1621


















1849,4972,500
3782,11210,2583
3966,13727,4997
4203,14324,5408
4127,12001,4617
3614,9262,2803
3617,7227,1660
3592,6173,2896
2734,5355,3748
2025,4756,3020
718,3515,2582

-1531,-769,581
-1247,-1611,388
-1098,-734,2653
-1240,-327,4230
-1798,-615,5276
-1986,-767,4662
-1581,-395,4454
-1043,-296,4932
-506,13,4345
114,1116,4504
365,1721,3837
483,1278,2587
537,956,1619




1558,1455,-78
1780,1727,318
1857,1754,373
2247,2382,312
2408,2822,277
2471,3168,216
2350,3365,-193
1940,2930,-2158
1620,2330,-4655
1331,1961,-6391
1111,1615,-7772
525,813,-9190
-161,-713,-9709
-1018,-2515,-10665
-2002,-4815,-10539
-2957,-7750,-9018
-3948,-10118,-6752
-4573,-10044,-4436
-4066,-8677,-2101
-3887,-10120,-2186
-4454,-11929,-1846
-5907,-12014,-923
