












































































































2846,2136,3901
2564,2458,3713
2741,2812,4411
2031,4023,4520
1654,3617,5080
1023,3892,4953
588,4437,4314
3,3639,4014
-894,3055,3846
-979,2556,3668
-1730,2184,3674
-1942,1549,3079
-2250,1032,2305
-1848,1165,1775
-1342,1425,2118
-1180,1837,2263
-1192,1717,2438
-1105,1402,1722








1566,426,482
1531,405,372
1641,161,530
1637,-80,514



-1703,315,-1994
-2243,-1872,-3281
-3686,-2153,-4897
-4548,-2203,-6365
-4772,-2141,-7182
-4737,-2796,-6638
-4966,-3609,-5378
-6056,-4813,-4973
-6876,-6204,-5741
-7143,-7368,-5440
-7859,-7261,-6032
-7265,-6202,-5512
-7299,-3624,-5036
-7721,-1748,-3731
-8748,1762,-2500
-9296,7275,-1463
-6731,9547,-1763
-4984,8310,-1261
-3817,1096,1186
-3665,-3599,1308
-2760,-5386,322
-2389,-5010,-834
-2008,-4595,-2085
-1387,-4595,-3000
-856,-4182,-3377
-432,-3461,-3380
205,-2949,-3132
529,-2965,-2635
675,-3805,-1777
702,-4286,-1764
996,-4401,-2523
939,-3829,-2875
838,-3142,-2931
997,-3153,-2769
1281,-3324,-2547
1560,-3188,-2402
1692,-2726,-2272
1824,-2078,-2012
1941,-1663,-1682
1957,-1328,-1439
1969,-863,-949
1614,-506,-324



255,1732,728
95,1960,825
284,1817,706
919,1575,248
1615,1315,139
2285,829,522
2817,669,992
3436,513,1716
4435,277,2595
5183,-110,3359
5778,92,4109
6277,1298,3281
6284,1830,3801
6542,3043,3416
7516,5378,3587
6919,6355,4566
5845,6571,4786
5208,5951,5213
5162,5145,4951
5687,5014,4810
5341,5430,4798
4151,6009,4910
2756,6222,5240
1553,6122,5051
2007,5579,5074
1993,5089,5266
2131,5173,4931
1079,4595,5642
52,3569,4867
-653,2766,3949
-886,2107,3396
-910,1735,3160
-1057,1579,2714
-1171,1531,2687
-1069,1738,2714
-1275,1530,2747
-1384,1240,2570
-875,1052,2517
-112,769,1604
669,1161,1651













9,-1337,-1583
-898,-1875,-2067
-1980,-2743,-2600
-3011,-4084,-3395
-3442,-5339,-3894
-3622,-5963,-4546
-4420,-6236,-5518
-4765,-5919,-6244
-4598,-5750,-6055
-5342,-5442,-5875
-5680,-6273,-5239
-6433,-7447,-5241
-6665,-8420,-4787
-7191,-8888,-4949
-7446,-8423,-5935
-8024,-6482,-5618
-8091,-3251,-4786
-8691,-394,-4155
-9217,2249,-2398
-7848,3467,-982
-6842,4240,296
-6647,4930,1718
-7320,6562,2428
-7441,8568,2420
-6888,7815,1615
-5606,4485,817
-4490,1956,170
-3682,1436,-412
-3517,1014,-261
-3518,729,-475
-2882,878,-922
-2383,632,-1048
-1972,974,-1300
-1528,1046,-1413

-614,1219,-1790
-448,444,-1895
-367,340,-2013
-172,208,-2248
-19,-109,-2599
654,-888,-1714

812,-1732,-668
482,-1679,-502







430,-1634,-800

1792,-53,-106
2700,-916,382
4541,-2909,804
5520,-4118,1004
5685,-4270,1347
6436,-3381,685
7354,-1496,543
7769,-574,899
7882,126,1249
8258,1457,1774
8481,3134,2586
7687,4776,4216
6942,6010,6343
6345,4807,8212
4750,3301,8280
3709,3212,6920
4390,3561,5535
3815,3947,3963
4007,2019,4175
3313,2080,3236
4012,1335,3404
5344,1782,3875
5529,2304,4854
4553,2978,5204
3445,3558,5478
1506,4002,5243
299,3760,4237
770,4379,3654
768,4988,3835
-228,4045,3371
-659,2599,2425

-1687,-321,-188


972,1721,2100
1058,2012,2848
327,1666,2451
-31,1082,1797









-189,-1509,-923
-218,-1918,-1336
104,-2175,-1362
