
























































-15239,-747,-692
-17114,-5210,2022
-15541,-8947,1969
-8346,-7425,-218
-3947,-5279,-5030
-765,-2710,-7461
-364,471,-5588
-426,1832,-3702
-20,3184,-2808
570,4741,-2074
796,5650,-1037
1032,5633,-340
652,4740,-17
457,3252,-16
607,2341,-223

412,-1243,-1597
399,-1909,-2045
187,-2579,-2349
1134,730,-1905
948,2108,-264
803,2186,-425





























-1041,-1536,726
-1191,-1604,889







-1123,-355,1960
-771,1017,2622
-311,2823,2985
421,4873,3436
994,6589,3998
1493,7485,3889
1909,7172,3314
1910,6693,2729
1786,5959,2297
2185,5862,1366
2800,5396,843
2988,4833,663
2238,3635,538
2581,3837,598
2390,3372,749
2420,3844,1208
2304,4355,1693
2177,4548,2055
1722,4342,2014
1409,4478,2242
1465,4270,2295
1550,4053,2365
1345,3875,2578
1110,3885,3247
1302,3847,3186
1433,4154,3466
1165,4821,4050
851,4958,4236
861,5615,4490
647,5364,4664
206,4438,4727
-155,3494,4784
-452,3436,4840
-4,3620,4631
711,4080,5277
1100,4302,5786
1323,3582,4753
1690,1943,3346
1925,230,1652
2277,-1223,213
2056,-1986,268
1645,-2647,-560
1177,-3343,-1482
590,-3784,-1811
207,-4193,-2711
-1,-4371,-4337
-330,-4782,-5769
-1571,-5751,-7028
-2761,-6957,-8489
-4260,-8508,-8101
-5432,-11525,-7603
-5036,-9352,-4490
-6049,-2723,-2711
-7598,-2948,-5431
-7158,-4368,-5426
-8260,-5556,-3804
-8706,-5930,-2685
-8309,-5266,-2485
-6282,-6990,-3394
-3927,-6524,-4680
-2020,-4973,-5265
-818,-1114,-4904
218,2073,-4467
336,2686,-4379
401,1672,-3712
246,707,-3219
367,322,-2550
301,-77,-1835

-417,-1807,-1013
-618,-2762,-1033
-771,-3070,-1497
-590,-4225,-1847
-691,-5291,-2265
-613,-5906,-2529

81,2298,444
-112,1662,263































-699,-1986,541
-609,-2386,757
-172,-2040,820

427,1798,1985
1132,5137,2915
1737,7917,3694
2511,9568,4175
2644,9392,4130
2142,7935,3581
2151,6940,2477
2512,6240,1585
2872,5888,899
2604,5537,671
2988,5556,754
3087,5245,1228
2992,4960,1581
2977,4744,2150
2735,4578,2292
2496,4615,1941
2319,4198,1330
2388,4276,1389
